branch_id,name,city,district,address
GY640289,Wēi Kāng Nanhai Flagship,Foshan,Nanhai District,81885 Patty Shores Apt. 081 (Near Metro Station)
GY554748,Jīn Shì Bǎo Xuhui Flagship,Shanghai,Xuhui District,814 Patrick Mountains (Near Shopping Mall)
GY880600,Jiàn Lè Nanhai Flagship,Foshan,Nanhai District,7801 Nicholas Squares Suite 360 (Near Shopping Mall)
GY146881,Wēi Kāng Lvshunkou Flagship,Dalian,Lvshunkou District,584 Wells Circles Suite 518 (Near Metro Station)
GY802639,Yī Zhào Wéi Dé Haidian Flagship,Beijing,Haidian District,8710 Dalton Squares Suite 518 (Near Metro Station)
GY096554,Wēi Ěr Shì Wuzhong Flagship,Suzhou,Wuzhong District,6390 Sanders Burgs Suite 593 (Near Metro Station)
GY270030,Lì Měi Sanshui Flagship,Foshan,Sanshui District,9422 Raymond Summit (Near Metro Station)
GY246100,Měi Gé Fēi Longgang Flagship,Shenzhen,Longgang District,77681 Evans Highway (Near University)
GY504745,Yī Zhào Wéi Dé Jinshui Flagship,Zhengzhou,Jinshui District,66338 Meadows Trail Suite 451 (Near Shopping Mall)
GY894831,Lì Měi Gulou Flagship,Nanjing,Gulou District,88329 Williams Parkway (Near University)
GY277631,Ào Měi Wuzhong Flagship,Suzhou,Wuzhong District,618 Stephen Brooks Suite 188 (Near Shopping Mall)
GY758595,Wēi Kāng Songshanhu Flagship,Dongguan,Songshanhu District,16959 Brooks Loop (Near University)
GY169777,Yī Zhào Wéi Dé Yantian Flagship,Shenzhen,Yantian District,47619 Lane Isle (Near Shopping Mall)
GY991101,Ào Měi Nancheng Flagship,Dongguan,Nancheng District,77425 Myers Parks (Near Shopping Mall)
GY028745,Lì Měi Shangcheng Flagship,Hangzhou,Shangcheng District,204 Clarence Grove (Near Shopping Mall)
GY525339,Wēi Ěr Shì Wuhou Flagship,Chengdu,Wuhou District,97408 Kayla Freeway (Near Shopping Mall)
GY807355,Wēi Kāng Huangpu Flagship,Guangzhou,Huangpu District,31885 Kristi Landing (Near University)
GY011071,Ào Měi Xihu Flagship,Hangzhou,Xihu District,166 Blake Viaduct Apt. 674 (Near University)
GY252599,Wēi Kāng Qiaokou Flagship,Wuhan,Qiaokou District,24866 Norman Court (Near Metro Station)
GY758586,Ào Měi Huqiu Flagship,Suzhou,Huqiu District,1133 Price Lakes (Near Metro Station)
GY861980,Jīn Shì Bǎo Wanjiang Flagship,Dongguan,Wanjiang District,954 Davenport River Suite 509 (Near University)
GY374192,Jīn Shì Bǎo Changqing Flagship,Jinan,Changqing District,802 Mann Rue Apt. 902 (Near Metro Station)
GY734828,Měi Gé Fēi Binhu Flagship,Wuxi,Binhu District,723 Kristina Ville (Near Shopping Mall)
GY637616,Jiàn Lè Hongshan Flagship,Wuhan,Hongshan District,9046 Janice Estate Apt. 025 (Near Metro Station)
GY311348,Lì Měi Shapingba Flagship,Chongqing,Shapingba District,961 Ebony Harbor Apt. 883 (Near University)
GY674477,Ào Měi Hanyang Flagship,Wuhan,Hanyang District,56812 Kerry Locks (Near Metro Station)
GY582944,Lì Měi Wangcheng Flagship,Changsha,Wangcheng District,6456 Fitzgerald Islands (Near University)
GY946464,Wēi Kāng Hedong Flagship,Tianjin,Hedong District,8475 Jamie Turnpike Apt. 893 (Near Shopping Mall)
GY743300,Ào Měi Wanjiang Flagship,Dongguan,Wanjiang District,45024 Brent Garden Apt. 907 (Near Metro Station)
GY544503,Jīn Shì Bǎo Yuhua Flagship,Changsha,Yuhua District,04842 Wallace Extension Apt. 482 (Near Metro Station)
GY055813,Wēi Ěr Shì Chenghua Flagship,Chengdu,Chenghua District,27412 Emily Street Suite 990 (Near University)
GY303789,Wēi Ěr Shì Nan'an Flagship,Chongqing,Nan'an District,634 Wheeler Alley Suite 891 (Near Metro Station)
