pick_id,pick_name,pick_photo,pick_time,pick_place,description,registrant_username,is_claimed
700000,Apparel-Towel,/images/lost/apparel_5da99940.jpg,2024-08-04 15:41,1630_Perkins_Mountain_(Near_Shopping_Mall)-Poolside,Category: Apparel; Item Name: Towel; Brand: Green-Knox; Note: Good condition,cathylamb,0
700001,Daily Essentials-Wallet,/images/lost/daily essentials_56eacfde.jpg,2024-06-17 01:45,44077_Clements_Islands_(Near_Shopping_Mall)-Equipment_Area,"Category: Daily Essentials; Item Name: Wallet; Brand: Dawson, Miller and Rios; Note: Good condition",perezalyssa,0
700002,Daily Essentials-Membership Card,/images/lost/daily essentials_db9606f3.jpg,2024-09-22 18:56,502_Graham_Crescent_Suite_749_(Near_University)-Poolside,Category: Daily Essentials; Item Name: Membership Card; Contains: Cash; Note: Stored at reception,carolynstrong,0
700003,Apparel-Sneakers,/images/lost/apparel_5fefcf3c.jpg,2024-09-22 05:22,831_Green_Spur_Suite_082_(Near_Shopping_Mall)-Locker_Room,Category: Apparel; Item Name: Sneakers; Color: silver; Note: Visible wear marks,dspence,0
700004,Electronics-Smartphone,/images/lost/electronics_45310381.jpg,2024-12-07 13:15,3054_Smith_Bypass_(Near_Shopping_Mall)-Locker_Room,Category: Electronics; Item Name: Smartphone; Brand: Hall LLC; Note: Found in locker room,moraleskayla,0
700005,Electronics-Smart Watch,/images/lost/electronics_38b3d6bb.jpg,2025-03-15 06:14,208_Stacey_Trail_Suite_182_(Near_University)-Poolside,Category: Electronics; Item Name: Smart Watch; Brand: Parrish PLC; Color: gray; Note: Visible wear marks,abigailhampton,0
700006,Accessories-Ring,/images/lost/accessories_759c835b.jpg,2025-04-05 04:04,32132_Jones_Path_(Near_Shopping_Mall)-Poolside,Category: Accessories; Item Name: Ring; Brand: Hansen-Thomas; Note: Good condition,knoxjessica,1
700007,Accessories-Necklace,/images/lost/accessories_c3b8e85a.jpg,2024-12-08 08:39,8363_Lee_Orchard_(Near_Metro_Station)-Equipment_Area,Category: Accessories; Item Name: Necklace; Brand: House-Johnston; Note: Stored at reception,tammy34,0
700008,Electronics-Smart Watch,/images/lost/electronics_4db920f6.jpg,2024-06-06 15:07,85212_Lee_Squares_(Near_Metro_Station)-Reception,Category: Electronics; Item Name: Smart Watch; Brand: Roberts Group; Note: Stored at reception,paullang,0
700009,Daily Essentials-Wallet,/images/lost/daily essentials_7c660bd7.jpg,2025-02-23 04:19,158_Bates_Pass_(Near_Metro_Station)-Reception,Category: Daily Essentials; Item Name: Wallet; Brand: Rodriguez-Hall; Note: Good condition,peterrice,1
700010,Apparel-Sports Jacket,/images/lost/apparel_81affbba.jpg,2024-09-05 13:14,84079_Hendrix_Estate_Apt._876_(Near_Metro_Station)-Equipment_Area,Category: Apparel; Item Name: Sports Jacket; Note: Stored at reception,joy39,1
700011,Apparel-Towel,/images/lost/apparel_7e6fba0a.jpg,2024-05-12 16:33,4101_William_Shores_Apt._928_(Near_Metro_Station)-Locker_Room,Category: Apparel; Item Name: Towel; Brand: Holmes PLC; Color: olive; Note: Stored at reception,carrmarcus,1
700012,Electronics-Smart Watch,/images/lost/electronics_a948de93.jpg,2024-10-08 21:51,31117_Christina_Parks_(Near_University)-Reception,Category: Electronics; Item Name: Smart Watch; Model: sz-5505; Note: Good condition,angelsnyder,0
700013,Accessories-Eyeglasses,/images/lost/accessories_af33957e.jpg,2024-09-05 02:26,291_Chris_Mills_(Near_University)-Poolside,Category: Accessories; Item Name: Eyeglasses; Brand: Howard-Caldwell; Note: Good condition,michelle98,1
700014,Apparel-Sneakers,/images/lost/apparel_c63167c3.jpg,2025-04-16 01:29,36335_Gallagher_Estates_(Near_Shopping_Mall)-Locker_Room,Category: Apparel; Item Name: Sneakers; Color: teal; Note: Stored at reception,wwatson,0
700015,Daily Essentials-Keys,/images/lost/daily essentials_b34ac7be.jpg,2024-11-24 23:54,811_Patrick_Trafficway_(Near_Metro_Station)-Reception,Category: Daily Essentials; Item Name: Keys; Brand: Hebert-Taylor; Note: Good condition,kimberly92,0
700016,Electronics-Wireless Earbuds,/images/lost/electronics_2d4e2d82.jpg,2025-01-05 23:16,078_Kelsey_Crest_Apt._616_(Near_University)-Reception,Category: Electronics; Item Name: Wireless Earbuds; Model: OP-8476; Note: Found in locker room,michael37,0
700017,Daily Essentials-Wallet,/images/lost/daily essentials_a0b05dcf.jpg,2024-06-15 12:17,51472_Hale_Loaf_(Near_University)-Equipment_Area,Category: Daily Essentials; Item Name: Wallet; Contains: Cash; Brand: Maldonado-Dunn; Note: Visible wear marks,kelseyhickman,1
700018,Apparel-Towel,/images/lost/apparel_495f88fd.jpg,2025-03-05 14:18,9360_Amy_Orchard_(Near_Metro_Station)-Poolside,Category: Apparel; Item Name: Towel; Color: yellow; Note: Visible wear marks,flyons,1
700019,Accessories-Fitness Tracker,/images/lost/accessories_a3ee7947.jpg,2025-03-28 02:01,3565_Christina_Passage_Apt._599_(Near_University)-Locker_Room,Category: Accessories; Item Name: Fitness Tracker; Color: white; Note: Found in locker room,codyjuarez,0
700020,Accessories-Ring,/images/lost/accessories_354e0633.jpg,2024-09-08 18:35,28194_Kelley_Groves_Suite_453_(Near_University)-Locker_Room,Category: Accessories; Item Name: Ring; Color: yellow; Note: Stored at reception,eanderson,0
700021,Accessories-Fitness Tracker,/images/lost/accessories_edfbbb32.jpg,2025-03-19 15:27,89136_Welch_Manor_Apt._244_(Near_Shopping_Mall)-Equipment_Area,Category: Accessories; Item Name: Fitness Tracker; Note: Good condition,jjones,0
