equipment_id,name,quantity,status,branch_id
600000,Concept2 Rowing Machine 407,13,normal,GY011071
600001,Kettlebell Kings Kettlebell 559,14,normal,GY122007
600002,Valeo Medicine Ball 724,29,normal,GY726412
600003,Lululemon Yoga Mat 400,23,normal,GY652441
600004,Life Fitness Cable Machine 218,7,normal,GY417261
600005,SKLZ Medicine Ball 209,19,normal,GY417452
600006,TheraBand Resistance Bands 563,15,normal,GY802575
600007,Eleiko Barbell 579,3,normal,GY647256
600008,Kettlebell Kings Kettlebell 795,11,normal,GY709624
600009,CAP Weight Bench 386,4,normal,GY026940
600010,Bowflex Dumbbell Set 545,0,broken,GY332861
600011,NordicTrack Elliptical 868,14,normal,GY259520
600012,Schwinn Stationary Bike 287,10,normal,GY933203
600013,Bowflex Dumbbell Set 728,9,normal,GY954655
600014,Manduka Yoga Mat 609,22,normal,GY784078
600015,PowerBlock Dumbbell Set 674,4,normal,GY717311
600016,Keiser Stationary Bike 713,14,normal,GY267735
600017,Gaiam Yoga Mat 809,18,normal,GY788302
600018,Yes4All Dumbbell Set 646,3,fix,GY231870
600019,Fit Simplify Resistance Bands 500,18,normal,GY140511
600020,Schwinn Stationary Bike 775,10,normal,GY311348
600021,CAP Weight Bench 228,3,normal,GY387831
600022,Peloton Stationary Bike 500,12,normal,GY402209
600023,Valeo Medicine Ball 633,27,normal,GY005722
600024,TheraBand Resistance Bands 546,26,fix,GY027076
600025,Dynamax Medicine Ball 191,16,normal,GY114249
600026,Life Fitness Cable Machine 433,8,normal,GY988846
600027,CAP Weight Bench 122,10,normal,GY062267
600028,NordicTrack Elliptical 279,9,normal,GY575118
600029,Gaiam Yoga Mat 307,27,fix,GY688607
600030,Dynamax Medicine Ball 734,0,broken,GY632517
600031,Fit Simplify Resistance Bands 455,17,normal,GY803163
600032,Schwinn Stationary Bike 589,5,normal,GY653367
600033,Life Fitness Treadmill 643,14,normal,GY153386
600034,Dynamax Medicine Ball 167,19,normal,GY421169
600035,Life Fitness Treadmill 626,5,normal,GY726412
600036,Dynamax Medicine Ball 682,27,normal,GY257988
600037,Bowflex Dumbbell Set 750,5,fix,GY996706
600038,Valeo Medicine Ball 944,18,normal,GY944912
600039,TechnoGym Treadmill 727,7,normal,GY339848
600040,Rogue Barbell 553,4,normal,GY169777
600041,Cybex Cable Machine 742,9,normal,GY269933
600042,Matrix Elliptical 949,7,normal,GY312544
600043,Cybex Cable Machine 890,6,normal,GY626194
600044,Gaiam Yoga Mat 945,19,normal,GY209197
600045,Matrix Elliptical 622,7,normal,GY242297
600046,Yes4All Dumbbell Set 281,7,normal,GY507597
600047,TheraBand Resistance Bands 420,15,normal,GY311348
600048,Concept2 Rowing Machine 820,5,normal,GY652441
600049,Eleiko Barbell 116,8,normal,GY540469
600050,Concept2 Rowing Machine 391,5,normal,GY471700
600051,TechnoGym Treadmill 577,8,normal,GY707780
600052,Body-Solid Weight Bench 240,10,fix,GY435333
600053,Body-Solid Weight Bench 918,9,normal,GY490481
600054,CAP Kettlebell 159,13,fix,GY344522
600055,Schwinn Stationary Bike 535,8,normal,GY417452
600056,Concept2 Rowing Machine 439,10,normal,GY091593
600057,Yes4All Dumbbell Set 381,3,fix,GY436106
600058,Precor Treadmill 255,13,normal,GY327682
600059,Peloton Stationary Bike 359,14,normal,GY021749
600060,Yes4All Dumbbell Set 379,8,normal,GY484442
600061,Rogue Weight Bench 891,4,normal,GY952285
600062,Fit Simplify Resistance Bands 594,22,normal,GY257988
600063,Kettlebell Kings Kettlebell 743,23,normal,GY370258
