purchase_id,member_id,type,ref_id,number,total_fee,purchase_time
500000,144336,course,300198,1,240.0,2025-01-16 19:33:56
500001,135129,product,400139,3,300.0,2024-05-30 15:29:36
500002,134820,product,400223,3,510.0,2024-09-04 13:28:01
500003,103564,product,400032,3,600.0,2023-06-28 01:16:48
500004,115304,product,400108,1,190.0,2024-06-08 18:13:19
500005,136366,product,400087,3,270.0,2025-04-16 23:35:28
500006,125542,course,300224,1,170.0,2025-06-23 23:51:32
500007,149338,course,300026,1,100.0,2024-08-17 20:44:48
500008,130255,course,300245,1,260.0,2024-10-26 08:11:12
500009,149111,product,400282,1,240.0,2024-12-23 09:35:41
500010,107183,course,300405,1,290.0,2023-07-17 17:46:14
500011,125689,product,400038,2,320.0,2024-12-05 14:34:35
500012,111595,product,400094,1,110.0,2023-08-06 02:19:28
500013,116794,course,300370,1,110.0,2024-06-04 19:53:24
500014,119857,course,300166,1,110.0,2025-07-15 19:24:50
500015,102765,product,400274,3,750.0,2023-10-29 20:17:52
500016,153374,product,400016,3,240.0,2024-06-10 14:48:54
500017,162393,product,400097,1,140.0,2023-08-15 18:01:28
500018,107748,course,300267,1,80.0,2023-06-15 12:28:42
500019,138899,product,400223,3,510.0,2023-10-24 22:45:14
500020,141719,course,300483,1,250.0,2023-07-04 13:38:45
500021,106409,product,400256,1,290.0,2025-03-05 19:49:28
500022,115409,course,300081,1,280.0,2025-01-12 00:33:13
500023,144178,course,300190,1,260.0,2023-12-29 03:56:11
500024,114820,course,300346,1,250.0,2025-01-09 03:15:20
500025,162764,course,300478,1,150.0,2024-06-16 11:11:54
500026,126584,product,400176,2,600.0,2025-01-09 03:39:41
500027,118090,course,300328,1,90.0,2025-03-14 13:03:56
500028,161497,course,300288,1,210.0,2025-02-10 23:06:18
500029,161237,course,300097,1,80.0,2025-04-03 11:35:12
500030,134694,course,300440,1,100.0,2023-12-22 05:47:24
500031,117662,course,300133,1,240.0,2023-05-12 03:49:55
500032,109582,course,300351,1,190.0,2023-12-16 00:35:19
500033,124364,product,400178,3,660.0,2024-05-01 20:15:24
500034,152592,product,400136,3,480.0,2023-08-13 19:14:28
500035,166396,course,300139,1,80.0,2024-11-28 12:39:21
500036,143319,product,400211,2,180.0,2024-01-04 20:59:14
500037,166071,product,400161,1,220.0,2024-08-23 23:10:54
500038,107244,product,400274,2,500.0,2024-10-22 14:24:43
500039,122589,course,300390,1,70.0,2023-08-17 20:14:05
500040,105083,course,300408,1,240.0,2024-05-31 10:33:36
500041,158173,product,400111,1,180.0,2024-04-30 11:47:57
500042,164281,course,300468,1,180.0,2023-10-28 08:55:34
500043,129373,product,400250,3,390.0,2024-12-28 17:16:46
500044,108722,course,300013,1,190.0,2024-06-03 22:33:21
500045,146995,product,400010,2,480.0,2025-03-20 19:18:41
500046,104736,product,400229,2,560.0,2025-01-20 23:33:06
500047,142991,product,400061,2,180.0,2024-12-27 15:11:11
500048,161018,course,300442,1,220.0,2025-03-03 16:20:22
500049,137650,course,300474,1,170.0,2024-10-09 09:13:22
500050,113469,course,300043,1,130.0,2024-05-05 10:18:10
500051,128396,product,400195,3,330.0,2025-01-11 12:41:51
500052,118843,product,400034,1,150.0,2025-01-03 14:08:31
500053,160443,product,400204,1,130.0,2023-07-10 21:11:54
500054,124300,course,300163,1,240.0,2023-11-08 17:53:51
500055,120464,course,300381,1,110.0,2023-08-15 02:36:02
500056,111352,product,400183,1,270.0,2023-05-02 11:09:17
500057,122576,course,300034,1,160.0,2024-11-17 19:36:34
500058,163472,course,300487,1,140.0,2023-08-29 14:47:06
500059,116850,product,400061,3,270.0,2024-10-25 09:08:50
500060,144642,product,400231,1,220.0,2024-05-31 06:31:12
500061,169809,product,400127,2,120.0,2025-03-20 19:43:08
500062,167840,course,300141,1,90.0,2023-11-22 06:20:10
500063,156804,course,300428,1,170.0,2024-06-16 18:58:49
500064,117649,product,400145,2,460.0,2025-01-21 07:25:22
500065,162939,course,300219,1,180.0,2024-10-06 21:21:57
500066,127726,course,300031,1,130.0,2024-02-10 20:31:38
500067,116003,product,400035,2,440.0,2024-09-02 22:01:04
500068,133582,product,400076,2,540.0,2024-03-08 20:24:20
500069,138350,course,300242,1,180.0,2025-04-24 12:46:41
500070,110512,course,300175,1,80.0,2024-12-29 16:49:52
500071,102649,course,300097,1,80.0,2023-11-25 04:42:00
500072,112883,product,400116,2,520.0,2024-05-06 20:28:02
500073,131482,course,300208,1,230.0,2025-05-13 23:32:47
500074,132100,product,400120,3,240.0,2023-09-09 13:54:54
500075,147624,product,400231,2,440.0,2023-07-23 06:22:14
500076,143802,product,400250,2,260.0,2023-11-01 12:46:36
500077,102196,product,400013,2,580.0,2024-07-16 00:00:16
500078,139478,course,300274,1,160.0,2023-11-02 09:41:36
500079,114118,product,400161,1,220.0,2024-09-21 02:54:04
500080,164335,product,400076,3,810.0,2024-12-18 20:08:03
500081,108208,product,400059,1,170.0,2024-03-18 23:21:02
500082,136735,course,300287,1,110.0,2024-07-20 04:21:58
500083,114924,product,400031,1,50.0,2023-11-12 15:43:13
500084,144873,product,400220,1,50.0,2023-06-03 10:06:22
500085,169877,product,400095,1,80.0,2023-10-31 02:25:03
500086,156068,product,400288,3,840.0,2024-08-07 00:13:53
500087,108222,course,300122,1,250.0,2025-07-01 07:56:43
500088,149445,course,300152,1,130.0,2024-01-10 18:32:47
500089,154834,course,300338,1,220.0,2025-07-04 19:22:12
500090,149365,product,400041,1,190.0,2025-04-04 16:55:14
500091,111487,course,300072,1,240.0,2023-06-12 08:20:59
500092,139787,course,300245,1,260.0,2025-04-07 23:07:09
500093,164108,product,400010,3,720.0,2024-03-31 13:18:50
500094,115136,product,400151,3,660.0,2023-06-13 03:35:08
500095,116816,product,400096,1,250.0,2024-10-18 13:59:14
500096,154706,product,400170,2,380.0,2023-06-17 19:19:28
500097,144780,product,400040,2,440.0,2023-04-30 09:35:19
500098,139324,product,400099,1,80.0,2024-11-23 23:52:32
500099,143469,course,300008,1,100.0,2025-02-16 19:00:47
500100,127929,product,400188,2,500.0,2024-04-17 13:16:10
500101,100694,course,300251,1,260.0,2025-01-10 10:24:27
500102,154682,product,400058,2,260.0,2024-11-16 13:25:03
500103,168467,product,400189,1,120.0,2024-04-29 21:20:24
500104,166442,product,400125,2,280.0,2025-02-14 10:15:50
500105,129829,course,300274,1,160.0,2023-04-27 01:41:05
500106,125984,product,400271,3,210.0,2023-11-22 12:24:14
500107,151091,product,400119,1,290.0,2024-12-04 07:36:35
500108,165706,product,400169,2,500.0,2023-07-19 11:51:14
500109,107375,product,400011,3,600.0,2025-01-05 21:02:58
500110,145182,course,300350,1,100.0,2023-05-13 05:44:14
500111,146242,product,400246,2,200.0,2025-03-08 16:24:42
500112,129253,product,400123,2,140.0,2023-09-22 05:53:24
500113,150989,course,300262,1,200.0,2024-08-19 01:25:03
500114,167964,course,300374,1,250.0,2023-07-12 01:23:46
500115,131353,product,400198,3,630.0,2025-03-06 10:00:19
500116,106819,product,400191,1,80.0,2023-09-17 02:38:24
500117,134124,product,400093,3,450.0,2025-03-15 12:41:30
500118,109895,course,300068,1,50.0,2024-12-07 02:27:03
500119,136409,course,300489,1,230.0,2023-12-15 08:47:47
500120,162095,product,400282,2,480.0,2024-06-23 14:44:30
500121,118976,course,300173,1,270.0,2024-01-01 04:48:10
500122,105889,product,400213,3,300.0,2023-06-04 15:05:11
500123,157896,course,300152,1,130.0,2025-03-24 01:43:18
500124,123460,course,300389,1,90.0,2023-09-20 15:56:14
500125,106243,product,400116,1,260.0,2023-05-04 15:14:15
500126,144993,product,400095,2,160.0,2025-03-23 20:44:21
500127,160997,product,400112,3,540.0,2023-07-03 04:01:57
500128,156783,course,300359,1,230.0,2024-05-13 11:52:16
500129,163101,course,300158,1,250.0,2025-03-23 13:20:40
500130,122610,course,300063,1,290.0,2025-04-18 10:12:51
500131,156148,course,300291,1,190.0,2024-10-25 11:18:08
500132,134297,product,400169,1,250.0,2023-11-09 08:56:58
500133,123399,course,300281,1,80.0,2024-07-09 05:36:52
500134,166943,course,300001,1,160.0,2023-08-24 22:35:45
500135,143671,product,400131,1,90.0,2024-02-27 10:58:22
500136,155844,product,400255,2,460.0,2024-08-05 19:56:51
500137,139111,course,300279,1,290.0,2024-07-06 16:14:29
500138,141121,product,400281,2,100.0,2023-12-21 04:23:44
500139,160662,product,400229,3,840.0,2024-12-28 18:18:41
500140,103065,product,400217,2,360.0,2024-08-08 08:40:10
500141,135072,product,400120,3,240.0,2023-10-31 19:39:29
500142,151253,product,400266,3,270.0,2024-07-05 06:27:52
500143,137838,product,400218,3,600.0,2024-07-03 11:24:43
500144,149008,course,300013,1,190.0,2024-07-28 22:14:28
500145,156298,product,400216,2,140.0,2023-09-28 19:46:04
500146,151469,product,400122,3,180.0,2024-03-25 23:49:00
500147,140519,course,300343,1,70.0,2023-11-19 10:42:52
500148,122643,product,400147,3,840.0,2024-11-25 13:13:30
500149,146297,course,300207,1,140.0,2024-03-24 03:59:44
500150,139167,product,400281,3,150.0,2023-09-03 12:18:55
500151,146348,product,400185,1,180.0,2025-01-28 20:50:32
500152,127461,product,400109,3,600.0,2024-07-12 23:48:48
500153,115500,product,400049,2,300.0,2025-02-10 09:05:05
500154,160694,course,300305,1,240.0,2023-09-02 01:09:52
500155,161876,product,400146,3,390.0,2024-07-09 22:49:26
500156,137361,course,300337,1,120.0,2024-01-28 07:50:01
500157,105594,course,300148,1,110.0,2025-01-11 18:29:34
500158,139712,product,400144,1,50.0,2024-12-13 17:45:20
500159,108783,product,400059,2,340.0,2025-03-15 12:02:57
500160,136308,product,400200,3,300.0,2023-08-16 06:02:58
500161,115943,product,400008,2,260.0,2024-02-18 22:39:02
500162,144841,course,300116,1,130.0,2023-08-30 10:26:51
500163,150487,course,300181,1,130.0,2025-05-07 06:57:26
500164,107926,product,400041,3,570.0,2024-08-26 04:31:47
500165,145204,product,400128,2,440.0,2024-01-31 18:03:06
500166,140865,product,400254,2,360.0,2025-04-18 15:20:48
500167,101031,course,300068,1,50.0,2025-02-08 03:01:59
500168,120433,product,400128,3,660.0,2024-02-07 01:51:04
500169,164684,product,400288,2,560.0,2025-02-27 07:17:14
500170,141718,course,300036,1,90.0,2025-04-09 15:45:24
500171,115445,product,400109,3,600.0,2025-04-07 00:15:51
500172,150718,product,400054,2,560.0,2024-09-14 15:59:47
500173,112473,course,300068,1,50.0,2024-06-05 10:19:36
500174,101769,product,400078,3,720.0,2023-05-04 07:37:32
500175,156059,course,300075,1,100.0,2023-10-08 11:28:32
500176,101322,course,300314,1,170.0,2023-05-26 07:12:44
500177,110351,product,400076,1,270.0,2024-05-01 12:49:00
500178,121822,product,400243,3,810.0,2024-03-04 10:52:24
500179,118928,product,400233,2,220.0,2023-10-27 08:37:01
500180,104306,product,400217,3,540.0,2025-01-28 07:06:30
500181,139563,course,300459,1,70.0,2023-07-30 19:30:35
500182,110714,course,300459,1,70.0,2025-03-24 23:42:22
500183,107977,product,400241,2,360.0,2024-01-09 02:08:54
500184,131696,course,300292,1,60.0,2024-01-03 15:35:02
500185,153772,course,300304,1,300.0,2025-04-03 08:29:38
500186,137429,product,400292,2,100.0,2023-08-29 18:49:07
500187,118845,course,300431,1,250.0,2024-05-11 09:34:22
500188,166981,course,300075,1,100.0,2023-11-16 21:19:43
500189,162668,product,400211,1,90.0,2023-12-18 23:16:17
500190,127661,product,400156,3,840.0,2023-06-23 08:32:35
500191,144871,product,400277,1,290.0,2023-12-27 09:08:31
500192,167159,course,300437,1,110.0,2024-06-23 23:43:46
500193,127759,product,400184,2,100.0,2024-12-07 14:17:42
500194,151738,product,400271,1,70.0,2024-01-05 12:46:29
500195,149343,product,400140,3,780.0,2025-02-15 00:28:57
500196,121054,product,400048,2,400.0,2024-03-23 14:00:15
500197,160424,product,400240,3,330.0,2024-06-10 12:14:25
500198,100157,product,400193,3,210.0,2024-12-15 06:07:49
500199,155221,product,400153,1,100.0,2024-07-26 14:44:04
500200,123720,course,300338,1,220.0,2024-05-26 03:00:38
500201,156204,course,300379,1,150.0,2024-09-19 22:57:54
500202,126780,product,400006,3,630.0,2023-06-05 22:09:31
500203,140794,product,400098,3,900.0,2023-05-10 08:28:06
500204,161161,product,400248,2,320.0,2024-08-07 03:22:59
500205,164046,product,400182,2,460.0,2025-01-10 04:05:02
500206,121870,product,400196,3,720.0,2023-06-16 21:47:23
500207,116773,product,400085,3,600.0,2024-08-30 21:24:30
500208,159353,product,400255,1,230.0,2024-06-29 16:51:44
500209,107212,product,400167,1,240.0,2024-12-30 00:56:59
500210,153027,product,400151,3,660.0,2024-06-16 15:36:21
500211,165270,course,300081,1,280.0,2025-07-15 05:18:35
500212,160407,course,300127,1,270.0,2023-10-07 15:09:45
500213,106841,product,400298,1,60.0,2025-01-04 22:41:29
500214,155099,course,300034,1,160.0,2023-12-12 05:19:17
500215,145530,course,300343,1,70.0,2024-09-03 05:37:03
500216,131720,product,400272,1,60.0,2023-08-20 01:18:21
500217,136243,product,400089,3,240.0,2024-01-17 19:09:53
500218,125110,product,400161,3,660.0,2024-05-13 16:52:30
500219,168199,course,300431,1,250.0,2024-08-09 03:03:11
500220,136350,course,300393,1,160.0,2024-01-26 18:55:11
500221,109616,course,300333,1,140.0,2024-07-02 07:14:22
500222,129081,product,400258,3,870.0,2024-01-27 02:56:37
500223,168424,course,300038,1,120.0,2023-12-23 00:04:21
500224,158201,course,300216,1,190.0,2023-11-27 20:51:10
500225,104111,course,300374,1,250.0,2025-06-22 15:32:42
500226,161096,course,300461,1,240.0,2023-06-17 01:34:35
500227,104590,course,300062,1,250.0,2024-07-24 02:48:29
500228,105323,course,300194,1,120.0,2023-08-05 05:04:22
500229,122398,product,400121,2,340.0,2024-11-05 12:26:58
500230,123495,course,300269,1,70.0,2023-05-01 17:16:30
500231,106676,product,400048,3,600.0,2023-05-13 04:31:06
500232,104559,product,400149,3,720.0,2023-09-20 20:41:40
500233,117096,course,300231,1,190.0,2025-05-15 09:25:16
500234,152161,product,400039,2,140.0,2023-10-27 23:13:11
500235,160788,product,400295,3,510.0,2024-07-03 09:36:58
500236,153882,course,300049,1,80.0,2024-08-11 16:58:55
500237,168976,product,400272,3,180.0,2024-01-18 08:25:49
500238,110733,course,300462,1,210.0,2024-06-18 17:25:51
500239,158260,course,300139,1,80.0,2024-08-26 19:24:49
500240,160936,course,300156,1,270.0,2023-07-02 11:50:54
500241,116774,course,300065,1,170.0,2024-06-01 23:17:06
500242,118901,product,400297,3,210.0,2023-12-14 20:56:23
500243,160223,course,300398,1,130.0,2024-12-05 16:38:57
500244,129778,product,400015,3,600.0,2023-07-03 13:53:36
500245,147854,course,300464,1,270.0,2025-02-23 21:39:07
500246,132042,product,400048,2,400.0,2024-02-29 11:44:12
500247,120242,product,400062,1,270.0,2025-01-14 23:37:55
500248,135305,product,400042,3,750.0,2023-12-03 13:53:44
500249,145816,course,300429,1,100.0,2023-08-13 20:43:07
500250,116040,product,400158,1,90.0,2023-12-09 13:28:50
500251,160763,product,400192,3,270.0,2024-02-17 01:25:04
500252,154477,product,400015,3,600.0,2024-07-05 22:36:50
500253,142578,product,400113,1,300.0,2024-06-21 22:31:08
500254,120397,course,300332,1,190.0,2023-08-14 15:06:18
500255,161244,product,400230,1,170.0,2024-07-06 04:50:24
500256,145931,product,400156,1,280.0,2023-12-14 22:30:41
500257,156144,product,400274,1,250.0,2024-05-07 21:19:49
500258,143578,product,400040,1,220.0,2023-12-23 07:15:44
500259,135057,product,400188,1,250.0,2023-09-08 15:52:58
500260,124571,course,300339,1,290.0,2024-05-29 06:26:03
500261,133860,course,300437,1,110.0,2024-01-27 18:59:21
500262,139613,course,300259,1,60.0,2023-08-08 05:21:04
500263,112475,product,400111,2,360.0,2024-02-13 01:40:23
500264,161223,product,400285,2,200.0,2023-08-23 02:01:48
500265,165783,course,300034,1,160.0,2023-09-12 19:53:38
500266,141675,course,300125,1,160.0,2024-12-01 17:08:09
500267,155965,product,400196,3,720.0,2024-12-03 01:03:19
500268,163984,product,400040,2,440.0,2024-12-15 04:07:28
500269,134197,product,400003,3,480.0,2025-02-10 12:53:10
500270,149374,product,400240,3,330.0,2024-12-21 09:01:53
500271,143054,course,300431,1,250.0,2023-07-29 23:59:06
500272,157852,course,300228,1,90.0,2024-06-14 11:33:11
500273,128058,product,400205,2,320.0,2025-04-21 21:11:37
500274,120636,course,300043,1,130.0,2024-03-16 23:29:37
500275,166521,course,300454,1,250.0,2023-05-13 14:17:20
500276,135705,product,400252,1,50.0,2024-09-24 12:43:25
500277,113379,course,300059,1,50.0,2023-05-23 15:33:33
500278,162353,course,300100,1,60.0,2025-07-27 11:40:21
500279,163836,course,300086,1,230.0,2023-09-23 16:42:53
