course_instance_id,course_name,template_id,course_id,start_datetime,end_datetime,status
C300070_20250528,Morning Dance Zumba Workshop,100279,300070,2025-05-28 19:00:00,2025-05-28 21:00:00,absent
C300213_20250530,Weekend Yoga Hot Program,100205,300213,2025-05-30 09:00:00,2025-05-30 11:00:00,absent
C300379_20250531,Morning Yoga Advanced Class,100054,300379,2025-05-31 09:00:00,2025-05-31 11:00:00,present
C300055_20250531,Afternoon Cycling Indoor Class,100054,300055,2025-05-31 09:00:00,2025-05-31 11:00:00,present
C300456_20250531,Afternoon Weightlifting Power Class,100229,300456,2025-05-31 09:00:00,2025-05-31 11:00:00,present
C300185_20250601,Evening Dance Aerobic Session,100009,300185,2025-06-01 14:00:00,2025-06-01 16:00:00,absent
C300070_20250601,Morning Dance Zumba Workshop,100279,300070,2025-06-01 19:00:00,2025-06-01 21:00:00,absent
C300077_20250602,Morning Dance Aerobic Program,100091,300077,2025-06-02 09:00:00,2025-06-02 11:00:00,present
C300055_20250602,Afternoon Cycling Indoor Class,100054,300055,2025-06-02 09:00:00,2025-06-02 11:00:00,present
C300379_20250602,Morning Yoga Advanced Class,100054,300379,2025-06-02 09:00:00,2025-06-02 11:00:00,absent
C300482_20250602,Morning Yoga Advanced Session,100189,300482,2025-06-02 18:00:00,2025-06-02 20:00:00,absent
C300138_20250603,Morning Yoga Intermediate Program,100081,300138,2025-06-03 14:00:00,2025-06-03 16:00:00,present
C300135_20250603,Evening Cycling HIIT Workshop,100095,300135,2025-06-03 14:00:00,2025-06-03 16:00:00,present
C300362_20250604,Weekend Cycling Indoor Class,100213,300362,2025-06-04 09:00:00,2025-06-04 11:00:00,absent
C300185_20250604,Evening Dance Aerobic Session,100009,300185,2025-06-04 14:00:00,2025-06-04 16:00:00,absent
C300482_20250604,Morning Yoga Advanced Session,100189,300482,2025-06-04 18:00:00,2025-06-04 20:00:00,present
C300136_20250604,Evening Martial Arts MMA Workshop,100107,300136,2025-06-04 19:00:00,2025-06-04 21:00:00,absent
C300475_20250604,Evening Pilates Reformer Class,100171,300475,2025-06-04 19:00:00,2025-06-04 21:00:00,present
C300070_20250604,Morning Dance Zumba Workshop,100279,300070,2025-06-04 19:00:00,2025-06-04 21:00:00,absent
C300074_20250605,Weekend Pilates Group Session,100229,300074,2025-06-05 09:00:00,2025-06-05 11:00:00,absent
C300456_20250605,Afternoon Weightlifting Power Class,100229,300456,2025-06-05 09:00:00,2025-06-05 11:00:00,absent
C300302_20250605,Morning Pilates Reformer Session,100129,300302,2025-06-05 18:00:00,2025-06-05 20:00:00,present
C300213_20250606,Weekend Yoga Hot Program,100205,300213,2025-06-06 09:00:00,2025-06-06 11:00:00,present
C300482_20250606,Morning Yoga Advanced Session,100189,300482,2025-06-06 18:00:00,2025-06-06 20:00:00,present
C300475_20250606,Evening Pilates Reformer Class,100171,300475,2025-06-06 19:00:00,2025-06-06 21:00:00,present
C300055_20250607,Afternoon Cycling Indoor Class,100054,300055,2025-06-07 09:00:00,2025-06-07 11:00:00,absent
C300074_20250607,Weekend Pilates Group Session,100229,300074,2025-06-07 09:00:00,2025-06-07 11:00:00,present
C300379_20250607,Morning Yoga Advanced Class,100054,300379,2025-06-07 09:00:00,2025-06-07 11:00:00,absent
C300456_20250607,Afternoon Weightlifting Power Class,100229,300456,2025-06-07 09:00:00,2025-06-07 11:00:00,present
C300088_20250607,Afternoon Martial Arts Kickboxing Workshop,100291,300088,2025-06-07 14:00:00,2025-06-07 16:00:00,absent
C300043_20250607,Weekend Dance Hip-hop Class,100144,300043,2025-06-07 14:00:00,2025-06-07 16:00:00,absent
C300410_20250608,Afternoon Martial Arts Boxing Workshop,100090,300410,2025-06-08 14:00:00,2025-06-08 16:00:00,present
C300185_20250608,Evening Dance Aerobic Session,100009,300185,2025-06-08 14:00:00,2025-06-08 16:00:00,absent
C300070_20250608,Morning Dance Zumba Workshop,100279,300070,2025-06-08 19:00:00,2025-06-08 21:00:00,present
C300475_20250608,Evening Pilates Reformer Class,100171,300475,2025-06-08 19:00:00,2025-06-08 21:00:00,present
C300136_20250608,Evening Martial Arts MMA Workshop,100107,300136,2025-06-08 19:00:00,2025-06-08 21:00:00,absent
C300471_20250609,Afternoon Martial Arts MMA Session,100280,300471,2025-06-09 09:00:00,2025-06-09 11:00:00,absent
C300055_20250609,Afternoon Cycling Indoor Class,100054,300055,2025-06-09 09:00:00,2025-06-09 11:00:00,present
C300425_20250609,Afternoon Yoga Hot Program,100253,300425,2025-06-09 09:00:00,2025-06-09 11:00:00,absent
C300307_20250609,Morning Pilates Reformer Program,100290,300307,2025-06-09 09:00:00,2025-06-09 11:00:00,present
C300077_20250609,Morning Dance Aerobic Program,100091,300077,2025-06-09 09:00:00,2025-06-09 11:00:00,present
C300379_20250609,Morning Yoga Advanced Class,100054,300379,2025-06-09 09:00:00,2025-06-09 11:00:00,absent
