pick_id,pick_name,pick_photo,pick_time,pick_place,description,registrant_username,is_claimed
700000,Accessories-Fitness Tracker,/images/lost/accessories_1f83949b.jpg,2024-12-08 18:37,848_Cheryl_Viaduct_Suite_858_(Near_University)-Poolside,Category: Accessories; Item Name: Fitness Tracker; Color: yellow; Note: Visible wear marks,johnstonkyle,0
700001,Electronics-Smartphone,/images/lost/electronics_f5a17578.jpg,2025-01-17 12:17,57064_Erik_Crescent_Apt._851_(Near_Metro_Station)-Reception,Category: Electronics; Item Name: Smartphone; Model: sE-1996; Note: Found in locker room,meganshepard,0
700002,Daily Essentials-Water Bottle,/images/lost/daily essentials_a3157a89.jpg,2024-04-26 16:16,4932_Diaz_Harbor_(Near_Metro_Station)-Locker_Room,Category: Daily Essentials; Item Name: Water Bottle; Brand: Thomas-Alvarez; Color: olive; Note: Visible wear marks,anthonycastro,0
700003,Electronics-Smartphone,/images/lost/electronics_bbcc337a.jpg,2024-11-07 15:37,48372_Anderson_Forge_Apt._534_(Near_Shopping_Mall)-Equipment_Area,Category: Electronics; Item Name: Smartphone; Model: Az-6241; Color: navy; Note: Stored at reception,wrobertson,0
700004,Electronics-Wireless Earbuds,/images/lost/electronics_8a44924b.jpg,2024-07-29 03:41,49223_Kimberly_Shores_(Near_Metro_Station)-Poolside,Category: Electronics; Item Name: Wireless Earbuds; Model: qJ-5955; Note: Good condition,jake95,0
700005,Daily Essentials-Membership Card,/images/lost/daily essentials_221ac606.jpg,2024-11-19 08:43,67695_Garcia_Lane_Suite_645_(Near_Shopping_Mall)-Poolside,Category: Daily Essentials; Item Name: Membership Card; Contains: Credit Cards; Note: Stored at reception,yatkins,0
700006,Apparel-Gym Gloves,/images/lost/apparel_442d3105.jpg,2024-12-25 11:49,9623_Phillips_Circle_Suite_673_(Near_University)-Poolside,Category: Apparel; Item Name: Gym Gloves; Color: silver; Brand: Howell Group; Note: Visible wear marks,shannonmeyer,0
700007,Daily Essentials-Water Bottle,/images/lost/daily essentials_4de2d532.jpg,2024-07-05 02:54,5737_David_Course_Suite_625_(Near_University)-Equipment_Area,Category: Daily Essentials; Item Name: Water Bottle; Color: black; Note: Found in locker room,cheryl66,0
700008,Accessories-Necklace,/images/lost/accessories_7f0ad338.jpg,2024-11-12 10:45,7449_Charles_Wells_(Near_Metro_Station)-Poolside,Category: Accessories; Item Name: Necklace; Brand: Parker-Alexander; Note: Visible wear marks,lindsay99,0
700009,Daily Essentials-Keys,/images/lost/daily essentials_cf2863c0.jpg,2024-08-13 14:50,80946_Michele_Heights_Suite_294_(Near_University)-Equipment_Area,"Category: Daily Essentials; Item Name: Keys; Color: green; Brand: Williams, Thomas and Dean; Note: Stored at reception",andre13,0
700010,Apparel-Towel,/images/lost/apparel_4db059bb.jpg,2024-05-26 07:18,4946_Davis_Gardens_(Near_Shopping_Mall)-Locker_Room,Category: Apparel; Item Name: Towel; Note: Good condition,ballardjeremiah,0
700011,Accessories-Ring,/images/lost/accessories_9ec4fb47.jpg,2024-06-02 04:07,4692_Adams_Roads_Suite_084_(Near_Metro_Station)-Poolside,Category: Accessories; Item Name: Ring; Note: Visible wear marks,phamlynn,0
700012,Electronics-Tablet,/images/lost/electronics_770a7f63.jpg,2024-09-25 08:34,25384_Malik_Vista_(Near_Shopping_Mall)-Locker_Room,Category: Electronics; Item Name: Tablet; Color: aqua; Note: Stored at reception,amygarza,0
700013,Accessories-Eyeglasses,/images/lost/accessories_2f7698c5.jpg,2024-12-12 19:15,241_Carr_Falls_(Near_Shopping_Mall)-Poolside,"Category: Accessories; Item Name: Eyeglasses; Color: black; Brand: Smith, Edwards and Sanchez; Note: Visible wear marks",veronicasmith,0
700014,Daily Essentials-Membership Card,/images/lost/daily essentials_c9ad6e0a.jpg,2024-11-23 08:06,732_Mcfarland_Harbor_Suite_740_(Near_Shopping_Mall)-Locker_Room,Category: Daily Essentials; Item Name: Membership Card; Contains: ID; Note: Stored at reception,andrew81,0
700015,Apparel-Sneakers,/images/lost/apparel_f098fad8.jpg,2025-01-14 08:51,6882_Debra_Burgs_(Near_Shopping_Mall)-Equipment_Area,Category: Apparel; Item Name: Sneakers; Brand: Terry LLC; Note: Visible wear marks,ellischristopher,0
700016,Apparel-Sports Jacket,/images/lost/apparel_6379ccfa.jpg,2025-04-21 02:26,3952_Jennifer_Oval_Apt._796_(Near_University)-Poolside,Category: Apparel; Item Name: Sports Jacket; Brand: Sharp-Walters; Color: navy; Note: Visible wear marks,cassidygonzalez,0
700017,Electronics-Wireless Earbuds,/images/lost/electronics_a99a1213.jpg,2024-12-02 15:44,9455_Pierce_Crossroad_Suite_487_(Near_University)-Reception,Category: Electronics; Item Name: Wireless Earbuds; Model: we-4878; Color: gray; Note: Visible wear marks,mendezstephen,0
700018,Electronics-Tablet,/images/lost/electronics_0b52aec2.jpg,2024-10-19 04:53,4429_Vincent_Tunnel_(Near_Metro_Station)-Poolside,Category: Electronics; Item Name: Tablet; Brand: Wilkins-Steele; Note: Visible wear marks,brendaowens,0
700019,Apparel-Towel,/images/lost/apparel_9213c903.jpg,2024-10-20 07:20,8590_Tran_Spur_(Near_Shopping_Mall)-Locker_Room,Category: Apparel; Item Name: Towel; Color: lime; Note: Stored at reception,monicaparker,0
700020,Apparel-Sports Jacket,/images/lost/apparel_2156b07a.jpg,2024-07-19 17:34,838_Bridges_Street_(Near_Shopping_Mall)-Equipment_Area,Category: Apparel; Item Name: Sports Jacket; Note: Found in locker room,amy00,0
700021,Electronics-Smartphone,/images/lost/electronics_eaad3b18.jpg,2024-06-02 11:01,8302_Jeff_Ridge_Suite_171_(Near_University)-Poolside,Category: Electronics; Item Name: Smartphone; Model: xt-4203; Color: green; Note: Found in locker room,tiffanystewart,0
700022,Electronics-Wireless Earbuds,/images/lost/electronics_14bc3b05.jpg,2024-11-16 17:56,3733_Bradley_Greens_(Near_Shopping_Mall)-Equipment_Area,Category: Electronics; Item Name: Wireless Earbuds; Color: silver; Brand: Maynard LLC; Note: Found in locker room,davidlambert,0
