product_id,name,description,image,stock,fee,branch_id
400000,Dymatize Plant-Based Strawberry 2kg,High-quality Plant-Based protein with 24g protein per serving. Contains essential amino acids.,/images/protein powder-plant-based-strawberry.jpg,38,140.0,GY418477
400001,ON Casein Vanilla 10 servings,Available in natural flavor. High-quality Casein protein with 24g protein per serving.,/images/protein powder-casein-vanilla.jpg,45,280.0,GY747464
400002,Rogue Resistance Band Rubber 5kg,Durable rubber construction. Ergonomic design for comfort.,/images/equipment-resistance-band-rubber.jpg,5,90.0,GY031351
400003,Elite Monthly Membership,Personal locker included. Includes sauna access.,/images/membership-monthly.jpg,999,300.0,GY164765
400004,Gymshark T-Shirt Red XL,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-t-shirt-red.jpg,22,250.0,GY588648
400005,ON Whey Unflavored 5lbs,Available in natural flavor. High-quality Whey protein with 30g protein per serving.,/images/protein powder-whey-unflavored.jpg,29,170.0,GY934106
400006,MuscleTech Whey Strawberry 2kg,Available in natural flavor. High-quality Whey protein with 30g protein per serving.,/images/protein powder-whey-strawberry.jpg,28,100.0,GY816185
400007,Powerade Recovery Tropical 1L,Recovery drink with electrolytes. Refreshing mixed taste.,/images/sports drink-recovery-tropical.jpg,107,250.0,GY916601
400008,Nike T-Shirt Black L,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-t-shirt-black.jpg,33,110.0,GY602921
400009,Under Armour T-Shirt Black L,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-t-shirt-black.jpg,40,230.0,GY929317
400010,Elite Annual Membership,Personal locker included. Includes parking access.,/images/membership-annual.jpg,999,220.0,GY064168
400011,Rogue Yoga Mat Rubber 15kg,Durable rubber construction. Ergonomic design for comfort.,/images/equipment-yoga-mat-rubber.jpg,15,190.0,GY790981
400012,Under Armour Shorts Black XL,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-shorts-black.jpg,50,140.0,GY588571
400013,Rogue Yoga Mat EVA Foam 5kg,Durable rubber construction. Ergonomic design for comfort.,/images/equipment-yoga-mat-eva-foam.jpg,9,130.0,GY965227
400014,Under Armour Hoodie Gray L,Breathable cotton fabric. Available in black color.,/images/apparel-hoodie-gray.jpg,60,90.0,GY418725
400015,Under Armour Shorts Gray M,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-shorts-gray.jpg,40,290.0,GY229648
400016,Gymshark T-Shirt Navy XL,Breathable cotton fabric. Moisture-wicking technology.,/images/apparel-t-shirt-navy.jpg,33,150.0,GY620034
400017,MuscleTech Plant-Based Chocolate 2kg,Contains essential amino acids. High-quality Plant-Based protein with 24g protein per serving.,/images/protein powder-plant-based-chocolate.jpg,19,290.0,GY231794
400018,Platinum Annual Membership,Personal locker included. Access to 3 classes per week.,/images/membership-annual.jpg,999,160.0,GY461570
400019,Platinum VIP Membership,Includes parking access. Access to 5 classes per week.,/images/membership-vip.jpg,999,90.0,GY595233
400020,Lucozade Isotonic Lemon 6-pack,Refreshing mixed taste. Enhances hydration and performance.,/images/sports drink-isotonic-lemon.jpg,89,100.0,GY597722
400021,Elite Annual Membership,Access to 3 classes per week. Personal locker included.,/images/membership-annual.jpg,999,300.0,GY133842
400022,Yes4All Resistance Band Neoprene 10kg,Ergonomic design for comfort. 10kg weight option.,/images/equipment-resistance-band-neoprene.jpg,11,200.0,GY514358
400023,Gymshark Hoodie Navy M,Available in black color. Moisture-wicking technology.,/images/apparel-hoodie-navy.jpg,30,70.0,GY549013
400024,Rogue Dumbbell Neoprene 5kg,Durable rubber construction. Ergonomic design for comfort.,/images/equipment-dumbbell-neoprene.jpg,23,240.0,GY362747
400025,Under Armour T-Shirt Red M,Breathable cotton fabric. Available in black color.,/images/apparel-t-shirt-red.jpg,36,120.0,GY822629
400026,MuscleTech Plant-Based Strawberry 10 servings,High-quality Plant-Based protein with 24g protein per serving. Available in natural flavor.,/images/protein powder-plant-based-strawberry.jpg,31,290.0,GY344171
400027,Yes4All Yoga Mat Rubber 15kg,Ergonomic design for comfort. 10kg weight option.,/images/equipment-yoga-mat-rubber.jpg,6,180.0,GY661179
400028,Platinum VIP Membership,Personal locker included. Includes sauna access.,/images/membership-vip.jpg,999,60.0,GY926866
400029,Gymshark Shorts Red M,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-shorts-red.jpg,64,90.0,GY362747
400030,Under Armour T-Shirt Black M,Breathable cotton fabric. Moisture-wicking technology.,/images/apparel-t-shirt-black.jpg,47,150.0,GY550665
400031,CAP Resistance Band Rubber 15kg,Durable rubber construction. 10kg weight option.,/images/equipment-resistance-band-rubber.jpg,11,290.0,GY598923
400032,Platinum Annual Membership,Personal locker included. Includes pool access.,/images/membership-annual.jpg,999,130.0,GY402288
400033,Gold Monthly Membership,Personal locker included. Access to 4 classes per week.,/images/membership-monthly.jpg,999,160.0,GY092917
400034,CAP Dumbbell Rubber 10kg,Durable rubber construction. Ergonomic design for comfort.,/images/equipment-dumbbell-rubber.jpg,22,290.0,GY585321
400035,MuscleTech Plant-Based Strawberry 5lbs,High-quality Plant-Based protein with 30g protein per serving. Available in natural flavor.,/images/protein powder-plant-based-strawberry.jpg,18,80.0,GY084760
400036,MuscleTech Plant-Based Vanilla 10 servings,Contains essential amino acids. High-quality Plant-Based protein with 30g protein per serving.,/images/protein powder-plant-based-vanilla.jpg,42,250.0,GY418725
400037,Gold Monthly Membership,Access to 5 classes per week. Personal locker included.,/images/membership-monthly.jpg,999,290.0,GY344171
