purchase_id,member_id,type,ref_id,number,total_fee,purchase_time
500000,126511,product,400297,3,540.0,2023-06-01 17:14:25
500001,129442,course,300003,1,120.0,2024-05-28 02:36:51
500002,148282,course,300076,1,80.0,2025-03-09 07:09:50
500003,152927,product,400164,1,230.0,2024-02-16 23:39:18
500004,149139,product,400134,2,320.0,2024-07-18 05:05:51
500005,143862,product,400096,1,190.0,2023-11-28 23:24:55
500006,120804,course,300449,1,130.0,2024-06-05 05:26:52
500007,160772,product,400294,2,480.0,2024-07-19 19:12:39
500008,144417,product,400108,3,240.0,2024-07-15 16:51:49
500009,150222,course,300410,1,70.0,2023-11-25 05:46:57
500010,119917,product,400030,1,150.0,2025-02-08 02:27:00
500011,157077,course,300236,1,180.0,2024-06-14 22:44:24
500012,158175,course,300107,1,290.0,2023-11-16 10:56:14
500013,137960,course,300014,1,70.0,2024-11-13 20:52:13
500014,160244,course,300454,1,160.0,2023-09-12 11:38:07
500015,131599,course,300382,1,170.0,2023-08-22 15:45:40
500016,120031,product,400076,3,180.0,2023-12-19 09:02:16
500017,111799,product,400114,2,260.0,2023-05-16 03:45:58
500018,131829,product,400101,2,280.0,2023-08-01 03:28:08
500019,154823,product,400135,3,180.0,2024-07-31 09:51:40
500020,105298,course,300255,1,80.0,2025-02-07 02:02:35
500021,155803,product,400146,3,180.0,2024-09-08 15:11:47
500022,161576,product,400219,3,510.0,2024-02-16 12:54:35
500023,167789,product,400245,1,270.0,2025-03-16 00:35:30
500024,148906,course,300404,1,60.0,2025-01-18 18:12:34
500025,137298,product,400159,2,440.0,2024-02-01 20:35:20
500026,143294,course,300268,1,210.0,2025-03-04 15:07:44
500027,146214,course,300188,1,240.0,2023-08-01 22:01:31
500028,141313,product,400177,3,180.0,2024-08-26 23:15:15
500029,167953,course,300251,1,200.0,2024-06-12 03:50:19
500030,166790,course,300168,1,190.0,2024-11-29 02:18:27
500031,102437,product,400273,2,200.0,2024-09-30 16:00:05
500032,119739,course,300249,1,220.0,2023-07-08 05:29:09
500033,118646,course,300050,1,270.0,2023-05-07 21:28:49
500034,143365,product,400167,3,300.0,2023-12-23 18:11:36
500035,115584,course,300371,1,150.0,2024-01-10 04:10:02
500036,129603,product,400268,2,220.0,2023-05-21 20:19:26
500037,152290,product,400274,1,210.0,2024-02-08 03:47:39
500038,130883,course,300137,1,120.0,2025-06-03 21:59:45
500039,166799,course,300285,1,150.0,2024-06-27 13:19:36
500040,105029,product,400001,2,560.0,2025-02-13 23:10:46
500041,150602,product,400163,3,510.0,2023-05-28 09:00:18
500042,136751,course,300002,1,220.0,2024-03-31 14:17:42
500043,103739,course,300362,1,200.0,2024-01-07 03:27:47
500044,157311,product,400099,1,280.0,2024-08-25 03:10:58
500045,112977,product,400202,2,360.0,2023-09-10 04:51:35
500046,124216,product,400084,1,300.0,2024-11-06 11:57:20
500047,139091,product,400278,2,600.0,2024-06-09 22:22:35
500048,105003,product,400088,1,170.0,2024-11-11 05:15:14
500049,130942,course,300121,1,80.0,2024-09-06 19:45:51
500050,162280,course,300127,1,220.0,2023-05-18 02:42:16
500051,150152,course,300295,1,220.0,2024-11-14 21:59:30
500052,148299,product,400056,2,460.0,2024-10-10 19:19:46
500053,117221,course,300247,1,170.0,2025-05-06 17:00:40
500054,115143,course,300275,1,90.0,2024-12-12 22:00:42
500055,102800,course,300093,1,290.0,2023-11-15 01:32:44
500056,119643,course,300175,1,250.0,2023-09-30 04:17:25
500057,134385,course,300421,1,90.0,2024-08-20 00:25:23
500058,127234,product,400190,2,200.0,2024-04-01 13:26:41
500059,151811,product,400020,1,100.0,2023-05-28 12:45:02
500060,156301,course,300291,1,300.0,2023-05-15 16:45:02
500061,148201,product,400294,1,240.0,2024-07-17 01:40:14
500062,131335,product,400192,1,150.0,2023-11-30 04:58:30
500063,117988,product,400031,2,580.0,2023-09-13 14:52:01
500064,150173,product,400025,2,240.0,2024-10-11 17:20:48
500065,104777,product,400154,1,150.0,2024-08-05 16:58:54
500066,115467,product,400223,2,300.0,2023-06-26 23:05:31
500067,167826,course,300284,1,200.0,2025-01-04 18:54:20
500068,139680,course,300322,1,160.0,2024-12-14 13:28:21
500069,166252,course,300029,1,300.0,2023-09-19 05:57:41
500070,131368,course,300051,1,180.0,2024-10-21 22:10:06
500071,132140,course,300343,1,110.0,2024-03-29 17:34:43
500072,156774,course,300235,1,300.0,2025-02-14 12:10:53
500073,111740,product,400267,3,660.0,2024-08-02 03:11:10
500074,147646,product,400284,3,570.0,2023-08-09 20:36:33
500075,147316,product,400016,1,150.0,2023-11-20 11:38:48
500076,105117,product,400132,3,840.0,2024-04-04 13:15:28
500077,169689,course,300186,1,160.0,2025-03-02 05:05:44
500078,128176,course,300161,1,240.0,2023-06-21 07:36:47
500079,133336,product,400216,1,220.0,2025-03-12 14:04:19
500080,105605,product,400184,2,520.0,2024-01-07 03:15:49
500081,144737,course,300282,1,300.0,2024-09-15 01:45:00
500082,164003,course,300473,1,70.0,2025-05-15 18:23:31
500083,130821,course,300112,1,150.0,2024-06-15 03:31:39
500084,123932,product,400211,2,580.0,2024-06-17 08:36:09
500085,142740,product,400206,1,130.0,2023-07-14 16:30:07
500086,124949,product,400082,3,570.0,2023-09-02 11:42:54
500087,153846,course,300394,1,130.0,2024-08-14 21:09:51
500088,119817,product,400174,1,160.0,2024-02-05 13:17:20
500089,131003,product,400072,2,260.0,2024-08-18 20:48:05
500090,155113,product,400252,1,90.0,2024-09-23 07:57:25
500091,103457,course,300001,1,250.0,2024-06-23 15:20:55
500092,127194,product,400194,3,630.0,2023-08-04 21:03:16
500093,148116,product,400147,2,240.0,2024-04-25 14:34:00
500094,108444,product,400038,3,720.0,2023-05-27 07:52:23
